constant,lower_bound,upper_bound,primary_source,secondary_source
busy-beaver-shift-1,1,,,oeis-A060843
busy-beaver-shift-1,,1,,oeis-A060843
busy-beaver-shift-2,6,,,oeis-A060843
busy-beaver-shift-2,,6,,oeis-A060843
busy-beaver-shift-3,21,,,oeis-A060843
busy-beaver-shift-3,,21,lin-1965,oeis-A060843
busy-beaver-shift-4,107,,,oeis-A060843
busy-beaver-shift-4,,107,brady-1983,oeis-A060843
busy-beaver-shift-5,47176870,,,oeis-A060843
busy-beaver-shift-5,,47176870,,oeis-A060843
busy-beaver-shift-6,7.4\times10^{36524},,kropitz-2011,aaronson-2020
busy-beaver-shift-7,10^{2\times10^{10^{10^{18705353}}}},,,aaronson-2020
busy-beaver-ones-5,4098,,marxen-1990,aaronson-2020
busy-beaver-ones-6,3.5\times10^{18267},,kropitz-2011,aaronson-2020
busy-beaver-ones-7,10^{10^{10^{10^{18705353}}}},,,aaronson-2020
busy-beaver-ones-1,1,,,oeis-A028444
busy-beaver-ones-1,,1,,oeis-A028444
busy-beaver-ones-2,4,,,oeis-A028444
busy-beaver-ones-2,,4,,oeis-A028444
busy-beaver-ones-3,6,,,oeis-A028444
busy-beaver-ones-3,,6,lin-1965,oeis-A028444
busy-beaver-ones-4,13,,,oeis-A028444
busy-beaver-ones-4,,13,brady-1983,oeis-A028444
