constant,lower_bound,upper_bound,primary_source,secondary_source
cage-3-3,4,,,wikipedia-cage
cage-3-3,,4,,wikipedia-cage
cage-3-4,6,,,wikipedia-cage
cage-3-4,,6,,wikipedia-cage
cage-4-3,5,,,wikipedia-cage
cage-4-3,,5,,wikipedia-cage
cage-4-4,8,,,wikipedia-cage
cage-4-4,,8,,wikipedia-cage
cage-5-3,6,,,wikipedia-cage
cage-5-3,,6,,wikipedia-cage
cage-5-4,10,,,wikipedia-cage
cage-5-4,,10,,wikipedia-cage
cage-6-3,7,,,wikipedia-cage
cage-6-3,,7,,wikipedia-cage
cage-6-4,12,,,wikipedia-cage
cage-6-4,,12,,wikipedia-cage
cage-7-3,8,,,wikipedia-cage
cage-7-3,,8,,wikipedia-cage
cage-7-4,14,,,wikipedia-cage
cage-7-4,,14,,wikipedia-cage
cage-4-7,67,,,wikipedia-cage
cage-4-8,80,,,wikipedia-cage
cage-5-8,170,,,wikipedia-age
cage-6-8,312,,,wikipedia-cage
cage-4-12,728,,,wikipedia-cage
cage-5-12,2730,,,wikipedia-cage
cage-6-12,7812,,,wikipedia-cage
cage-3-5,,10,,ejc-ds16-cages
cage-3-6,,14,,ejc-ds16-cages
cage-3-7,,24,,ejc-ds16-cages
cage-3-8,,30,,ejc-ds16-cages
cage-3-9,,58,,ejc-ds16-cages
cage-3-10,,70,,ejc-ds16-cages
cage-3-11,,112,,ejc-ds16-cages
cage-3-12,,126,,ejc-ds16-cages
cage-3-13,,272,,ejc-ds16-cages
cage-3-14,,384,,ejc-ds16-cages
cage-3-15,,620,,ejc-ds16-cages
cage-3-16,,960,,ejc-ds16-cages
cage-4-5,,19,,ejc-ds16-cages
cage-4-6,,26,,ejc-ds16-cages
cage-4-7,,67,,ejc-ds16-cages
cage-4-8,,80,,ejc-ds16-cages
cage-4-9,,275,exoo-circa-2008,ejc-ds16-cages
cage-4-10,,384,exoo-circa-2008,ejc-ds16-cages
cage-4-12,,728,,ejc-ds16-cages
cage-5-5,,30,,ejc-ds16-cages
cage-5-6,,42,,ejc-ds16-cages
cage-5-7,,152,,ejc-ds16-cages
cage-5-8,,170,,ejc-ds16-cages
cage-5-10,,1296,exoo-circa-2012,ejc-ds16-cages
cage-5-11,,2688,araujopardo-2010,ejc-ds16-cages
cage-5-12,,2730,,ejc-ds16-cages
cage-6-5,,40,,ejc-ds16-cages
cage-6-6,,62,,ejc-ds16-cages
cage-6-7,,294,,ejc-ds16-cages
cage-6-8,,312,,ejc-ds16-cages
cage-6-12,,7812,,ejc-ds16-cages
cage-7-5,,50,,ejc-ds16-cages
cage-7-6,,90,,ejc-ds16-cages
cage-7-8,,672,,ejc-ds16-cages
cage-7-12,,32928,,ejc-ds16-cages
cage-8-5,,80,,ejc-ds16-cages
cage-8-6,,114,,ejc-ds16-cages
cage-8-8,,800,,ejc-ds16-cages
cage-8-12,,39216,,ejc-ds16-cages
cage-9-5,,96,,ejc-ds16-cages
cage-9-6,,146,,ejc-ds16-cages
cage-9-7,,1152,araujopardo-2010,ejc-ds16-cages
cage-9-8,,1170,,ejc-ds16-cages
cage-9-11,,74752,araujopardo-2010,ejc-ds16-cages
cage-9-12,,74898,,ejc-ds16-cages
cage-10-5,,124,,ejc-ds16-cages
cage-10-6,,182,,ejc-ds16-cages
cage-10-8,,1640,,ejc-ds16-cages
cage-10-12,,132860,,ejc-ds16-cages
cage-11-5,,154,,ejc-ds16-cages
cage-11-6,,240,,ejc-ds16-cages
cage-11-8,,2618,,ejc-ds16-cages
cage-11-12,,319440,,ejc-ds16-cages
cage-12-5,,203,,ejc-ds16-cages
cage-12-6,,266,,ejc-ds16-cages
cage-12-8,,2928,,ejc-ds16-cages
cage-12-12,,354312,,ejc-ds16-cages
cage-13-5,,230,,ejc-ds16-cages
cage-13-6,,336,,ejc-ds16-cages
cage-13-8,,4342,,ejc-ds16-cages
cage-13-12,,738192,,ejc-ds16-cages
cage-14-5,,288,,ejc-ds16-cages
cage-14-6,,366,,ejc-ds16-cages
cage-14-8,,4760,,ejc-ds16-cages
cage-14-12,,804468,,ejc-ds16-cages
cage-15-5,,312,,ejc-ds16-cages
cage-15-6,,462,,ejc-ds16-cages
cage-15-8,,7648,,ejc-ds16-cages
cage-15-12,,1957376,,ejc-ds16-cages
cage-16-5,,336,,ejc-ds16-cages
cage-16-6,,504,,ejc-ds16-cages
cage-16-8,,8092,,ejc-ds16-cages
cage-16-12,,2088960,,ejc-ds16-cages
cage-17-5,,448,,ejc-ds16-cages
cage-17-6,,546,,ejc-ds16-cages
cage-17-8,,8738,,ejc-ds16-cages
cage-17-12,,2236962,,ejc-ds16-cages
cage-18-5,,480,,ejc-ds16-cages
cage-18-6,,614,,ejc-ds16-cages
cage-18-8,,10440,,ejc-ds16-cages
cage-18-12,,3017196,,ejc-ds16-cages
cage-19-5,,512,,ejc-ds16-cages
cage-19-6,,720,,ejc-ds16-cages
cage-19-8,,13642,,ejc-ds16-cages
cage-19-12,,4938480,,ejc-ds16-cages
cage-20-5,,576,,ejc-ds16-cages
cage-20-6,,762,,ejc-ds16-cages
cage-20-8,,14480,,ejc-ds16-cages
cage-20-12,,5227320,,ejc-ds16-cages
cage-3-5,10,,,ejc-ds16-cages
cage-3-6,14,,,ejc-ds16-cages
cage-3-7,24,,,ejc-ds16-cages
cage-3-8,30,,,ejc-ds16-cages
cage-3-9,58,,,ejc-ds16-cages
cage-3-10,70,,,ejc-ds16-cages
cage-3-11,112,,,ejc-ds16-cages
cage-3-12,126,,,ejc-ds16-cages
cage-3-13,202,,,ejc-ds16-cages
cage-3-14,258,,,ejc-ds16-cages
cage-3-15,384,,,ejc-ds16-cages
cage-3-16,512,,,ejc-ds16-cages
cage-4-5,19,,,ejc-ds16-cages
cage-5-5,30,,,ejc-ds16-cages
cage-6-5,40,,,ejc-ds16-cages
cage-7-5,50,,,ejc-ds16-cages
cage-8-5,67,,,ejc-ds16-cages
cage-9-5,86,,,ejc-ds16-cages
cage-10-5,103,,,ejc-ds16-cages
cage-11-5,124,,,ejc-ds16-cages
cage-12-5,147,,,ejc-ds16-cages
cage-13-5,174,,,ejc-ds16-cages
cage-14-5,199,,,ejc-ds16-cages
cage-15-5,230,,,ejc-ds16-cages
cage-16-5,259,,,ejc-ds16-cages
cage-17-5,294,,,ejc-ds16-cages
cage-18-5,327,,,ejc-ds16-cages
cage-19-5,364,,,ejc-ds16-cages
cage-20-5,403,,,ejc-ds16-cages
cage-4-6,26,,,ejc-ds16-cages
cage-5-6,42,,,ejc-ds16-cages
cage-6-6,62,,,ejc-ds16-cages
cage-7-6,90,,,ejc-ds16-cages
cage-8-6,114,,,ejc-ds16-cages
cage-9-6,146,,,ejc-ds16-cages
cage-10-6,182,,,ejc-ds16-cages
cage-11-6,224,,,ejc-ds16-cages
cage-12-6,266,,,ejc-ds16-cages
cage-13-6,314,,,ejc-ds16-cages
cage-14-6,366,,,ejc-ds16-cages
cage-15-6,422,,,ejc-ds16-cages
cage-16-6,482,,,ejc-ds16-cages
cage-17-6,546,,,ejc-ds16-cages
cage-18-6,614,,,ejc-ds16-cages
cage-19-6,686,,,ejc-ds16-cages
cage-20-6,762,,,ejc-ds16-cages
