constant,lower_bound,upper_bound,primary_source,secondary_source
circle-in-equilateral-1,2\sqrt{3},,trivial,friedman-circles-in-triangles
circle-in-equilateral-1,,2\sqrt{3},trivial,friedman-circles-in-triangles
circle-in-equilateral-2,2+2\sqrt{3},,trivial,friedman-circles-in-triangles
circle-in-equilateral-2,,2+2\sqrt{3},trivial,friedman-circles-in-triangles
circle-in-equilateral-3,2+2\sqrt{3},,trivial,friedman-circles-in-triangles
circle-in-equilateral-3,,2+2\sqrt{3},trivial,friedman-circles-in-triangles
circle-in-equilateral-4,4\sqrt{3},,milano-1987,friedman-circles-in-triangles
circle-in-equilateral-4,,4\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-5,4+2\sqrt{3},,milano-1987,friedman-circles-in-triangles
circle-in-equilateral-5,,4+2\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-6,4+2\sqrt{3},,oler-groemer-1961,friedman-circles-in-triangles
circle-in-equilateral-6,,4+2\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-7,2+4\sqrt{3},,melissen-1993,friedman-circles-in-triangles
circle-in-equilateral-7,,2+4\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-8,2+2\sqrt{3}+\frac{2\sqrt{33}}{3},,melissen-1993,friedman-circles-in-triangles
circle-in-equilateral-8,,2+2\sqrt{3}+\frac{2\sqrt{33}}{3},,friedman-circles-in-triangles
circle-in-equilateral-9,6+2\sqrt{3},,melissen-1993,friedman-circles-in-triangles
circle-in-equilateral-9,,6+2\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-10,6+2\sqrt{3},,oler-groemer-1961,friedman-circles-in-triangles
circle-in-equilateral-10,,6+2\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-11,4+2\sqrt{3}+\frac{4\sqrt{6}}{3},,melissen-1994a,friedman-circles-in-triangles
circle-in-equilateral-11,,4+2\sqrt{3}+\frac{4\sqrt{6}}{3},,friedman-circles-in-triangles
circle-in-equilateral-12,4+4\sqrt{3},,melissen-1994b,friedman-circles-in-triangles
circle-in-equilateral-12,,4+4\sqrt{3},,friedman-circles-in-triangles
circle-in-equilateral-13,,4+\frac{2\sqrt{6}}{3} + \frac{10\sqrt{3}}{3},melissen-1993,friedman-circles-in-triangles
circle-in-equilateral-14,,8+2\sqrt{3},erdos-oler-1961,friedman-circles-in-triangles
circle-in-equilateral-15,8+2\sqrt{3},,erdos-groemer-1961,friedman-circles-in-triangles
circle-in-equilateral-15,,8+2\sqrt{3},,friedman-circles-in-triangles
