constant,lower_bound,upper_bound,primary_source,secondary_source
degree-diameter-3-2,10,,,wikipedia-degree-diameter
degree-diameter-3-2,,10,,wikipedia-degree-diameter
degree-diameter-3-3,20,,elspasgraphs,wikipedia-degree-diameter
degree-diameter-3-3,,20,elspasgraphs,wikipedia-degree-diameter
degree-diameter-3-4,38,,dotygraph,wikipedia-degree-diameter
degree-diameter-3-4,,38,buset-2000,wikipedia-degree-diameter
degree-diameter-3-5,70,,afygraph,wikipedia-degree-diameter
degree-diameter-3-6,132,,exoographs,wikipedia-degree-diameter
degree-diameter-3-7,196,,exoo-post-2001,wikipedia-degree-diameter
degree-diameter-3-8,360,,jianxiang-chen-2018,wikipedia-degree-diameter
degree-diameter-3-9,600,,exoographs,wikipedia-degree-diameter
degree-diameter-3-10,1250,,conder-2006,wikipedia-degree-diameter
degree-diameter-4-2,15,,elspasgraphs,wikipedia-degree-diameter
degree-diameter-4-2,,15,elspasgraphs,wikipedia-degree-diameter
degree-diameter-4-3,41,,allwrightgraph,wikipedia-degree-diameter
degree-diameter-4-4,98,,exoo-post-2001,wikipedia-degree-diameter
degree-diameter-4-5,364,,delorme85agraphs,wikipedia-degree-diameter
degree-diameter-4-6,740,,comellas-gomez-1994,wikipedia-degree-diameter
degree-diameter-4-7,1320,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-4-8,3243,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-4-9,7575,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-4-10,17703,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-5-2,24,,elspasgraphs,wikipedia-degree-diameter
degree-diameter-5-2,,24,elspasgraphs,wikipedia-degree-diameter
degree-diameter-5-4,212,,exoographs,wikipedia-degree-diameter
degree-diameter-5-5,624,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-5-6,2772,,pinedagraphs,wikipedia-degree-diameter
degree-diameter-5-7,5516,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-5-8,17030,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-5-9,57840,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-5-10,187056,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-6-2,32,,wegnergraph,wikipedia-degree-diameter
degree-diameter-6-2,,32,molodtsov-2006,wikipedia-degree-diameter
degree-diameter-6-3,111,,exoo-post-2001,wikipedia-degree-diameter
degree-diameter-6-4,390,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-6-5,1404,,loz-siran-2008,wikipedia-degree-diameter
degree-diameter-6-6,7917,,pinedagraphs,wikipedia-degree-diameter
degree-diameter-6-7,19383,,loz-siran-2008,wikipedia-degree-diameter
