constant,lower_bound,upper_bound,primary_source,secondary_source
disk-covering-1,1,,trivial,friedman-circles-covering-circles
disk-covering-1,,1,trivial,friedman-circles-covering-circles
disk-covering-2,1,,trivial,wikipedia-disk-covering
disk-covering-2,,1,trivial,wikipedia-disk-covering
disk-covering-3,\frac{\sqrt{3}}{2},,trivial,friedman-circles-covering-circles
disk-covering-3,,\frac{\sqrt{3}}{2},trivial,friedman-circles-covering-circles
disk-covering-4,\frac{\sqrt{2}}{2},,trivial,friedman-circles-covering-circles
disk-covering-4,,\frac{\sqrt{2}}{2},trivial,friedman-circles-covering-circles
disk-covering-5,{\approx}0.609382,,bezdek-1983,friedman-circles-covering-circles
disk-covering-5,,{\approx}0.609382,,friedman-circles-covering-circles
disk-covering-6,{\approx}0.555905,,bezdek-1979,friedman-circles-covering-circles
disk-covering-6,,{\approx}0.555905,,friedman-circles-covering-circles
disk-covering-7,\frac{1}{2},,trivial,friedman-circles-covering-circles
disk-covering-7,,\frac{1}{2},trivial,friedman-circles-covering-circles
disk-covering-8,{\approx}0.445041,,toth-1996,friedman-circles-covering-circles
disk-covering-8,,{\approx}0.445041,,friedman-circles-covering-circles
disk-covering-9,{\approx}0.414213,,toth-1996,friedman-circles-covering-circles
disk-covering-9,,{\approx}0.414213,,friedman-circles-covering-circles
disk-covering-10,{\approx}0.394930,,toth-2005,friedman-circles-covering-circles
disk-covering-10,,{\approx}0.394930,,friedman-circles-covering-circles
disk-covering-11,,{\approx}0.380083,melissen-1997,friedman-circles-covering-circles
disk-covering-12,,{\approx}0.361141,melissen-1997,friedman-circles-covering-circles
disk-covering-13,,{\approx}0.346,tan-2018,friedman-circles-covering-circles
disk-covering-14,,{\approx}0.331,tan-2018,friedman-circles-covering-circles
disk-covering-15,,{\approx}0.318,tan-2018,friedman-circles-covering-circles
disk-covering-16,,{\approx}0.308,tan-2018,friedman-circles-covering-circles
disk-covering-17,,{\approx}0.299,tan-2018,friedman-circles-covering-circles
disk-covering-18,,{\approx}0.290,tan-2018,friedman-circles-covering-circles
disk-covering-19,,\frac{\sqrt{13}}{13},tan-2018,friedman-circles-covering-circles
disk-covering-20,,{\approx}0.271,tan-2018,friedman-circles-covering-circles
disk-covering-21,,{\approx}0.263,tan-2018,friedman-circles-covering-circles
disk-covering-22,,{\approx}0.253,tan-2018,friedman-circles-covering-circles
disk-covering-23,,{\approx}0.25,tan-2018,friedman-circles-covering-circles
disk-covering-24,,{\approx}0.245,tan-2018,friedman-circles-covering-circles
disk-covering-25,,\frac{1}{\sqrt{6}+\sqrt{3}},tan-2018,friedman-circles-covering-circles
