constant,lower_bound,upper_bound,primary_source,secondary_source
kissing-number-1,2,,,wikipedia-kissing-number
kissing-number-1,,2,,wikipedia-kissing-number
kissing-number-2,6,,,wikipedia-kissing-number
kissing-number-2,,6,,wikipedia-kissing-number
kissing-number-3,12,,,wikipedia-kissing-number
kissing-number-3,,12,,wikipedia-kissing-number
kissing-number-4,24,,,wikipedia-kissing-number
kissing-number-4,,24,,wikipedia-kissing-number
kissing-number-5,40,,,wikipedia-kissing-number
kissing-number-5,,44,,wikipedia-kissing-number
kissing-number-6,72,,,wikipedia-kissing-number
kissing-number-6,,77,,wikipedia-kissing-number
kissing-number-7,126,,,wikipedia-kissing-number
kissing-number-7,,134,,wikipedia-kissing-number
kissing-number-8,240,,,wikipedia-kissing-number
kissing-number-8,,240,,wikipedia-kissing-number
kissing-number-9,306,,,wikipedia-kissing-number
kissing-number-9,,363,,wikipedia-kissing-number
kissing-number-10,510,,,wikipedia-kissing-number
kissing-number-10,,553,,wikipedia-kissing-number
kissing-number-11,592,,,wikipedia-kissing-number
kissing-number-11,,868,,wikipedia-kissing-number
kissing-number-12,840,,,wikipedia-kissing-number
kissing-number-12,,1355,,wikipedia-kissing-number
kissing-number-13,1154,,,wikipedia-kissing-number
kissing-number-13,,2064,,wikipedia-kissing-number
kissing-number-14,1932,,,wikipedia-kissing-number
kissing-number-14,,3174,,wikipedia-kissing-number
kissing-number-15,2564,,,wikipedia-kissing-number
kissing-number-15,,4853,,wikipedia-kissing-number
kissing-number-16,4320,,,wikipedia-kissing-number
kissing-number-16,,7320,,wikipedia-kissing-number
kissing-number-17,5730,,,wikipedia-kissing-number
kissing-number-17,,10978,,wikipedia-kissing-number
kissing-number-18,7654,,,wikipedia-kissing-number
kissing-number-18,,16406,,wikipedia-kissing-number
kissing-number-19,11692,,,wikipedia-kissing-number
kissing-number-19,,24417,,wikipedia-kissing-number
kissing-number-20,19448,,,wikipedia-kissing-number
kissing-number-20,,36195,,wikipedia-kissing-number
kissing-number-21,29768,,,wikipedia-kissing-number
kissing-number-21,,53524,,wikipedia-kissing-number
kissing-number-22,49896,,,wikipedia-kissing-number
kissing-number-22,,80810,,wikipedia-kissing-number
kissing-number-23,93150,,,wikipedia-kissing-number
kissing-number-23,,122351,,wikipedia-kissing-number
kissing-number-24,196560,,,wikipedia-kissing-number
kissing-number-24,,196560,,wikipedia-kissing-number
