constant,lower_bound,upper_bound,primary_source,secondary_source
map-folding-2-2,8,,,oeis-a001418-map-folding-n-n
map-folding-2-2,,8,,oeis-a001418-map-folding-n-n
map-folding-3-3,1368,,,oeis-a001418-map-folding-n-n
map-folding-3-3,,1368,,oeis-a001418-map-folding-n-n
map-folding-4-4,300608,,,oeis-a001418-map-folding-n-n
map-folding-4-4,,300608,,oeis-a001418-map-folding-n-n
map-folding-5-5,186086600,,,oeis-a001418-map-folding-n-n
map-folding-5-5,,186086600,,oeis-a001418-map-folding-n-n
map-folding-6-6,123912532224,,,oeis-a001418-map-folding-n-n
map-folding-6-6,,123912532224,,oeis-a001418-map-folding-n-n
map-folding-7-7,129950723279272,,,oeis-a001418-map-folding-n-n
map-folding-7-7,,129950723279272,,oeis-a001418-map-folding-n-n
map-folding-2-3,60,,,oeis-a001415-map-folding-2-n
map-folding-2-3,,60,,oeis-a001415-map-folding-2-n
map-folding-2-4,320,,,oeis-a001415-map-folding-2-n
map-folding-2-4,,320,,oeis-a001415-map-folding-2-n
map-folding-2-5,1980,,,oeis-a001415-map-folding-2-n
map-folding-2-5,,1980,,oeis-a001415-map-folding-2-n
map-folding-2-6,10512,,,oeis-a001415-map-folding-2-n
map-folding-2-6,,10512,,oeis-a001415-map-folding-2-n
map-folding-2-7,60788,,,oeis-a001415-map-folding-2-n
map-folding-2-7,,60788,,oeis-a001415-map-folding-2-n
map-folding-2-8,320896,,,oeis-a001415-map-folding-2-n
map-folding-2-8,,320896,,oeis-a001415-map-folding-2-n
map-folding-2-9,1787904,,,oeis-a001415-map-folding-2-n
map-folding-2-9,,1787904,,oeis-a001415-map-folding-2-n
map-folding-2-10,9381840,,,oeis-a001415-map-folding-2-n
map-folding-2-10,,9381840,,oeis-a001415-map-folding-2-n
map-folding-2-11,51081844,,,oeis-a001415-map-folding-2-n
map-folding-2-11,,51081844,,oeis-a001415-map-folding-2-n
map-folding-2-12,266680992,,,oeis-a001415-map-folding-2-n
map-folding-2-12,,266680992,,oeis-a001415-map-folding-2-n
map-folding-2-13,1429703548,,,oeis-a001415-map-folding-2-n
map-folding-2-13,,1429703548,,oeis-a001415-map-folding-2-n
map-folding-2-14,7432424160,,,oeis-a001415-map-folding-2-n
map-folding-2-14,,7432424160,,oeis-a001415-map-folding-2-n
map-folding-2-15,39409195740,,,oeis-a001415-map-folding-2-n
map-folding-2-15,,39409195740,,oeis-a001415-map-folding-2-n
map-folding-2-16,204150606976,,,oeis-a001415-map-folding-2-n
map-folding-2-16,,204150606976,,oeis-a001415-map-folding-2-n
map-folding-2-17,1073644675448,,,oeis-a001415-map-folding-2-n
map-folding-2-17,,1073644675448,,oeis-a001415-map-folding-2-n
map-folding-2-18,5545305620064,,,oeis-a001415-map-folding-2-n
map-folding-2-18,,5545305620064,,oeis-a001415-map-folding-2-n
