constant,lower_bound,upper_bound,primary_source,secondary_source
minimal-superpermutation-1,1,,trivial,egan-superpermutations
minimal-superpermutation-1,,1,trivial,egan-superpermutations
minimal-superpermutation-2,3,,trivial,egan-superpermutations
minimal-superpermutation-2,,3,trivial,egan-superpermutations
minimal-superpermutation-3,9,,,egan-superpermutations
minimal-superpermutation-3,,9,,egan-superpermutations
minimal-superpermutation-4,33,,,egan-superpermutations
minimal-superpermutation-4,,33,,egan-superpermutations
minimal-superpermutation-5,153,,chaffin-2014,egan-superpermutations
minimal-superpermutation-5,,153,,egan-superpermutations
minimal-superpermutation-6,,873,,egan-superpermutations
minimal-superpermutation-7,,5913,,egan-superpermutations
minimal-superpermutation-8,,46233,,egan-superpermutations
minimal-superpermutation-9,,409113,,egan-superpermutations
minimal-superpermutation-6,,872,houston-2014,egan-superpermutations
minimal-superpermutation-7,,5908,,egan-superpermutations
minimal-superpermutation-8,,46205,,egan-superpermutations
minimal-superpermutation-9,,408966,,egan-superpermutations
minimal-superpermutation-7,,5907,coanda-2019,egan-superpermutations
minimal-superpermutation-7,,5906,houston-egan-2019,egan-superpermutations
