constant,lower_bound,upper_bound,primary_source,secondary_source
ramsey-3-3,6,,trivial,ejc-ds1-small-ramsey-numbers
ramsey-3-3,,6,trivial,ejc-ds1-small-ramsey-numbers
ramsey-3-4,9,,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-3-4,,9,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-3-5,14,,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-3-5,,14,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-3-6,18,,kery-1964,ejc-ds1-small-ramsey-numbers
ramsey-3-6,,18,kery-1964,ejc-ds1-small-ramsey-numbers
ramsey-3-7,23,,kalbfleisch-1966,ejc-ds1-small-ramsey-numbers
ramsey-3-7,,23,graver-yackel-1968,ejc-ds1-small-ramsey-numbers
ramsey-3-8,28,,grinstead-roberts-1982,ejc-ds1-small-ramsey-numbers
ramsey-3-8,,28,mckay-zhang-1992,ejc-ds1-small-ramsey-numbers
ramsey-3-9,36,,kalbfleisch-1966,ejc-ds1-small-ramsey-numbers
ramsey-3-9,,36,grinstead-roberts-1982,ejc-ds1-small-ramsey-numbers
ramsey-3-10,40,,exoo-1989c,ejc-ds1-small-ramsey-numbers
ramsey-3-10,,41,angeltveit-2024,ejc-ds1-small-ramsey-numbers
ramsey-3-11,47,,exoo-2013,ejc-ds1-small-ramsey-numbers
ramsey-3-11,,50,goedgebeur-radziszowski-2013,ejc-ds1-small-ramsey-numbers
ramsey-3-12,53,,kolodyazhny-2015,ejc-ds1-small-ramsey-numbers
ramsey-3-12,,59,lesser-2001,ejc-ds1-small-ramsey-numbers
ramsey-3-13,60,,kolodyazhny-2015,ejc-ds1-small-ramsey-numbers
ramsey-3-13,,68,goedgebeur-radziszowski-2013,ejc-ds1-small-ramsey-numbers
ramsey-3-14,67,,kolodyazhny-2016,ejc-ds1-small-ramsey-numbers
ramsey-3-14,,77,goedgebeur-radziszowski-2013,ejc-ds1-small-ramsey-numbers
ramsey-3-15,74,,kolodyazhny-2016,ejc-ds1-small-ramsey-numbers
ramsey-3-15,,87,goedgebeur-radziszowski-2013,ejc-ds1-small-ramsey-numbers
ramsey-4-4,18,,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-4-4,,18,greenwood-gleason-1955,ejc-ds1-small-ramsey-numbers
ramsey-4-5,25,,kalbfleisch-1965,ejc-ds1-small-ramsey-numbers
ramsey-4-5,,25,mckay-radziszowski-1995,ejc-ds1-small-ramsey-numbers
ramsey-4-6,36,,exoo-2012,ejc-ds1-small-ramsey-numbers
ramsey-4-6,,41,mckay-radziszowski-1997,ejc-ds1-small-ramsey-numbers
ramsey-4-7,49,,exoo-1989a,ejc-ds1-small-ramsey-numbers
ramsey-4-7,,61,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-8,59,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-4-8,,84,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-9,73,,exoo-2005,ejc-ds1-small-ramsey-numbers
ramsey-4-9,,115,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-10,92,,harborth-krause-2003,ejc-ds1-small-ramsey-numbers
ramsey-4-10,,149,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-11,102,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-4-11,,191,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-12,128,,su-luo-li-1998,ejc-ds1-small-ramsey-numbers
ramsey-4-12,,238,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-13,138,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-4-13,,291,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-14,147,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-4-14,,349,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-4-15,158,,tatarevic-2020,ejc-ds1-small-ramsey-numbers
ramsey-4-15,,417,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-5-5,43,,exoo-1989b,ejc-ds1-small-ramsey-numbers
ramsey-5-5,,48,angeltveit-mckay-2018,ejc-ds1-small-ramsey-numbers
ramsey-5-6,59,,exoo-2023,ejc-ds1-small-ramsey-numbers
ramsey-5-6,,87,huang-zhang-1993,ejc-ds1-small-ramsey-numbers
ramsey-5-7,80,,calkin-erdos-tovey-1997,ejc-ds1-small-ramsey-numbers
ramsey-5-7,,143,huang-zhang-1993,ejc-ds1-small-ramsey-numbers
ramsey-5-8,101,,harborth-krause-2003,ejc-ds1-small-ramsey-numbers
ramsey-5-8,,216,spencer-1994,ejc-ds1-small-ramsey-numbers
ramsey-5-9,133,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-5-9,,316,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-5-10,149,,exoo-tatarevic-2015,ejc-ds1-small-ramsey-numbers
ramsey-5-10,,442,mackey-1994,ejc-ds1-small-ramsey-numbers
ramsey-5-11,183,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-5-11,,633,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-5-12,203,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-5-12,,848,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-5-13,233,,kuznetsov-2016,ejc-ds1-small-ramsey-numbers
ramsey-5-13,,1138,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
