constant,lower_bound,upper_bound,primary_source,secondary_source
square-packing-in-square-1,,1,,ejc-ds7-packing-unit-squares
square-packing-in-square-2,,2,,ejc-ds7-packing-unit-squares
square-packing-in-square-3,,2,,ejc-ds7-packing-unit-squares
square-packing-in-square-4,,2,,ejc-ds7-packing-unit-squares
square-packing-in-square-5,,2 + \frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-6,,3,,ejc-ds7-packing-unit-squares
square-packing-in-square-7,,3,,ejc-ds7-packing-unit-squares
square-packing-in-square-8,,3,,ejc-ds7-packing-unit-squares
square-packing-in-square-9,,3,,ejc-ds7-packing-unit-squares
square-packing-in-square-10,,3 + \frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-11,,{\approx}3.8771,,ejc-ds7-packing-unit-squares
square-packing-in-square-12,,4,,ejc-ds7-packing-unit-squares
square-packing-in-square-13,,4,,ejc-ds7-packing-unit-squares
square-packing-in-square-14,,4,,ejc-ds7-packing-unit-squares
square-packing-in-square-15,,4,,ejc-ds7-packing-unit-squares
square-packing-in-square-16,,4,,ejc-ds7-packing-unit-squares
square-packing-in-square-17,,{\approx}4.6756,,ejc-ds7-packing-unit-squares
square-packing-in-square-18,,\frac{7+\sqrt{7}}{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-19,,3+\frac{4\sqrt{2}}{3},,ejc-ds7-packing-unit-squares
square-packing-in-square-20,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-21,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-22,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-23,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-24,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-25,,5,,ejc-ds7-packing-unit-squares
square-packing-in-square-26,,\frac{7}{2}+\frac{3\sqrt{2}}{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-27,,5+\frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-28,,2+2\sqrt{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-29,,{\approx}5.9344,,ejc-ds7-packing-unit-squares
square-packing-in-square-30,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-31,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-32,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-33,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-34,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-35,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-36,,6,,ejc-ds7-packing-unit-squares
square-packing-in-square-37,,{\approx}6.5987,,ejc-ds7-packing-unit-squares
square-packing-in-square-38,,6+\frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-39,,{\approx}6.8189,,ejc-ds7-packing-unit-squares
square-packing-in-square-40,,4+\frac{2}{\sqrt{2}},,ejc-ds7-packing-unit-squares
square-packing-in-square-41,,{\approx}6.9473,,ejc-ds7-packing-unit-squares
square-packing-in-square-42,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-43,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-44,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-45,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-46,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-47,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-48,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-49,,7,,ejc-ds7-packing-unit-squares
square-packing-in-square-50,,{\approx}7.5987,,ejc-ds7-packing-unit-squares
square-packing-in-square-51,,{\approx}7.7044,,ejc-ds7-packing-unit-squares
square-packing-in-square-52,,7+\frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-53,,{\approx}7.8231,,ejc-ds7-packing-unit-squares
square-packing-in-square-54,,{\approx}7.8488,,ejc-ds7-packing-unit-squares
square-packing-in-square-55,,{\approx}7.9871,,ejc-ds7-packing-unit-squares
square-packing-in-square-56,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-57,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-58,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-59,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-60,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-61,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-62,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-63,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-64,,8,,ejc-ds7-packing-unit-squares
square-packing-in-square-65,,5+\frac{5}{\sqrt{2}},,ejc-ds7-packing-unit-squares
square-packing-in-square-66,,3+4\sqrt{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-67,,8+\frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-68,,\frac{15}{2}+\frac{\sqrt{7}}{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-69,,{\approx}8.8562,,ejc-ds7-packing-unit-squares
square-packing-in-square-70,,{\approx}8.9121,,ejc-ds7-packing-unit-squares
square-packing-in-square-71,,{\approx}8.9633,,ejc-ds7-packing-unit-squares
square-packing-in-square-72,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-73,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-74,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-75,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-76,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-77,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-78,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-79,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-80,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-81,,9,,ejc-ds7-packing-unit-squares
square-packing-in-square-82,,6+\frac{5}{\sqrt{2}},,ejc-ds7-packing-unit-squares
square-packing-in-square-83,,4+4\sqrt{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-84,,9+\frac{1}{\sqrt{2}},gobel-1979,ejc-ds7-packing-unit-squares
square-packing-in-square-85,,\frac{11}{2}+3\sqrt{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-86,,\frac{17+\sqrt{7}}{2},,ejc-ds7-packing-unit-squares
square-packing-in-square-87,,{\approx}9.8520,,ejc-ds7-packing-unit-squares
square-packing-in-square-88,,{\approx}9.9018,,ejc-ds7-packing-unit-squares
square-packing-in-square-89,,5+\frac{7}{\sqrt{2}},,ejc-ds7-packing-unit-squares
square-packing-in-square-90,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-91,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-92,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-93,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-94,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-95,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-96,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-97,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-98,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-99,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-100,,10,,ejc-ds7-packing-unit-squares
square-packing-in-square-1,1,,,ejc-ds7-packing-unit-squares
square-packing-in-square-2,2,,,ejc-ds7-packing-unit-squares
square-packing-in-square-3,2,,,ejc-ds7-packing-unit-squares
square-packing-in-square-4,2,,,ejc-ds7-packing-unit-squares
square-packing-in-square-5,2 + \frac{1}{\sqrt{2}},,gobel-1979,ejc-ds7-packing-unit-squares
