constant,lower_bound,upper_bound,primary_source,secondary_source
stamp-folding-1,1,,trivial,oeis-a000136-stamp-folding
stamp-folding-1,,1,trivial,oeis-a000136-stamp-folding
stamp-folding-2,2,,trivial,oeis-a000136-stamp-folding
stamp-folding-2,,2,trivial,oeis-a000136-stamp-folding
stamp-folding-3,6,,,oeis-a000136-stamp-folding
stamp-folding-3,,6,,oeis-a000136-stamp-folding
stamp-folding-4,16,,,oeis-a000136-stamp-folding
stamp-folding-4,,16,,oeis-a000136-stamp-folding
stamp-folding-5,50,,,oeis-a000136-stamp-folding
stamp-folding-5,,50,,oeis-a000136-stamp-folding
stamp-folding-6,144,,,oeis-a000136-stamp-folding
stamp-folding-6,,144,,oeis-a000136-stamp-folding
stamp-folding-7,462,,,oeis-a000136-stamp-folding
stamp-folding-7,,462,,oeis-a000136-stamp-folding
stamp-folding-8,1392,,,oeis-a000136-stamp-folding
stamp-folding-8,,1392,,oeis-a000136-stamp-folding
stamp-folding-9,4536,,,oeis-a000136-stamp-folding
stamp-folding-9,,4536,,oeis-a000136-stamp-folding
stamp-folding-10,14060,,,oeis-a000136-stamp-folding
stamp-folding-10,,14060,,oeis-a000136-stamp-folding
stamp-folding-11,46310,,,oeis-a000136-stamp-folding
stamp-folding-11,,46310,,oeis-a000136-stamp-folding
stamp-folding-12,146376,,,oeis-a000136-stamp-folding
stamp-folding-12,,146376,,oeis-a000136-stamp-folding
stamp-folding-13,485914,,,oeis-a000136-stamp-folding
stamp-folding-13,,485914,,oeis-a000136-stamp-folding
stamp-folding-14,1557892,,,oeis-a000136-stamp-folding
stamp-folding-14,,1557892,,oeis-a000136-stamp-folding
stamp-folding-15,5202690,,,oeis-a000136-stamp-folding
stamp-folding-15,,5202690,,oeis-a000136-stamp-folding
stamp-folding-16,16861984,,,oeis-a000136-stamp-folding
stamp-folding-16,,16861984,,oeis-a000136-stamp-folding
stamp-folding-17,56579196,,,oeis-a000136-stamp-folding
stamp-folding-17,,56579196,,oeis-a000136-stamp-folding
stamp-folding-18,184940388,,,oeis-a000136-stamp-folding
stamp-folding-18,,184940388,,oeis-a000136-stamp-folding
stamp-folding-19,622945970,,,oeis-a000136-stamp-folding
stamp-folding-19,,622945970,,oeis-a000136-stamp-folding
stamp-folding-20,2050228360,,,oeis-a000136-stamp-folding
stamp-folding-20,,2050228360,,oeis-a000136-stamp-folding
stamp-folding-21,6927964218,,,oeis-a000136-stamp-folding
stamp-folding-21,,6927964218,,oeis-a000136-stamp-folding
stamp-folding-22,22930109884,,,oeis-a000136-stamp-folding
stamp-folding-22,,22930109884,,oeis-a000136-stamp-folding
stamp-folding-23,77692142980,,,oeis-a000136-stamp-folding
stamp-folding-23,,77692142980,,oeis-a000136-stamp-folding
stamp-folding-24,258360586368,,,oeis-a000136-stamp-folding
stamp-folding-24,,258360586368,,oeis-a000136-stamp-folding
stamp-folding-25,877395996200,,,oeis-a000136-stamp-folding
stamp-folding-25,,877395996200,,oeis-a000136-stamp-folding
stamp-folding-26,2929432171328,,,oeis-a000136-stamp-folding
stamp-folding-26,,2929432171328,,oeis-a000136-stamp-folding
stamp-folding-27,9968202968958,,,oeis-a000136-stamp-folding
stamp-folding-27,,9968202968958,,oeis-a000136-stamp-folding
stamp-folding-28,33396290888520,,,oeis-a000136-stamp-folding
stamp-folding-28,,33396290888520,,oeis-a000136-stamp-folding
stamp-folding-29,113837957337750,,,oeis-a000136-stamp-folding
stamp-folding-29,,113837957337750,,oeis-a000136-stamp-folding
