constant,lower_bound,upper_bound,primary_source,secondary_source
van-der-waerden-2-3,9,,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-2-3,,9,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-2-4,35,,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-2-4,,35,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-2-5,178,,stevens-shantaram-1978,wikipedia-van-der-waerden
van-der-waerden-2-5,,178,stevens-shantaram-1978,wikipedia-van-der-waerden
van-der-waerden-2-6,1132,,kouril-pre-2011,wikipedia-van-der-waerden
van-der-waerden-2-6,,1132,kouril-paul-2011,wikipedia-van-der-waerden
van-der-waerden-2-7,3704,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-2-8,11496,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-2-9,41266,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-2-10,103475,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-2-11,193942,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-3,27,,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-3-3,,27,chvatal-1970,wikipedia-van-der-waerden
van-der-waerden-3-4,293,,kouril-2012,wikipedia-van-der-waerden
van-der-waerden-3-4,,293,kouril-2012,wikipedia-van-der-waerden
van-der-waerden-3-5,2174,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-6,11192,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-7,48812,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-8,238401,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-9,932746,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-10,4173725,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-3-11,18603732,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-4-3,,76,beeler-oneil-1979,wikipedia-van-der-waerden
van-der-waerden-4-4,1049,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-4-5,17706,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-4-6,157210,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-7,2284752,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-8,12288156,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-9,139847086,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-10,1189640579,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-11,3464368084,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-3,171,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-5-4,2255,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-5-5,98742,,heule-2017,wikipedia-van-der-waerden
van-der-waerden-5-6,786741,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-7,15993258,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-8,86017086,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-9,978929596,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-10,8327484047,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-5-11,38108048914,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-3,226,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-6-4,9779,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-6-5,98749,,rabung-lotts-2012,wikipedia-van-der-waerden
van-der-waerden-6-6,1555550,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-7,111952800,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-8,602119596,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-9,6852507166,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-10,58292388323,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-6-11,419188538044,,monroe-2019,wikipedia-van-der-waerden
van-der-waerden-4-3,76,,rabung-1979,beeler-oneil-1979
van-der-waerden-4-6,91332,,,blankenship-c-t-2018
van-der-waerden-4-7,420218,,,blankenship-c-t-2018
van-der-waerden-4-8,2388318,,,blankenship-c-t-2018
van-der-waerden-4-9,10898730,,,blankenship-c-t-2018
van-der-waerden-4-10,76049219,,,blankenship-c-t-2018
van-der-waerden-4-11,329263782,,,blankenship-c-t-2018
van-der-waerden-5-6,540026,,,blankenship-c-t-2018
van-der-waerden-5-9,79706010,,,blankenship-c-t-2018
van-der-waerden-5-10,542694971,,,blankenship-c-t-2018
van-der-waerden-6-6,816982,,,blankenship-c-t-2018
van-der-waerden-5-7,2941520,,blankenship-c-t-2018,
van-der-waerden-5-8,16718220,,blankenship-c-t-2018,
van-der-waerden-5-11,3621901591,,blankenship-c-t-2018,
van-der-waerden-6-7,20590634,,blankenship-c-t-2018,
van-der-waerden-6-8,117027534,,blankenship-c-t-2018,
van-der-waerden-6-9,557942064,,blankenship-c-t-2018,
van-der-waerden-6-10,3798864791,,blankenship-c-t-2018,
van-der-waerden-6-11,39840917502,,blankenship-c-t-2018,
